S#,SNAME,SEX,BDATE,HEIGHT,DORM
01033184,李嘉懿,女,2005-01-08,1.62,东8舍402
01033185,周臻,男,2004-12-22,1.87,东9舍620
01033186,许成伍,男,2005-11-22,1.6,东8舍815
01033187,王子银,男,2005-12-26,1.79,东4舍308
01033188,黄珏璞,男,2004-11-12,1.77,东21舍231
01033189,王其阳,男,2005-10-12,1.79,东13舍512
01033190,杨培艺,男,2005-08-21,1.6,东11舍214
01033191,张馨予,女,2005-04-13,1.8,东8舍827
01033192,牛牧铎,女,2002-06-15,1.81,东14舍924
01033193,晏喆,男,2004-09-13,1.59,东15舍508
01033194,邵丹妮,女,2003-05-03,1.76,东6舍223
01033195,王新征,男,2005-03-08,1.89,东2舍423
01033196,王华鑫,男,2005-06-03,1.71,东18舍429
01033197,冯未然,男,2002-03-02,1.68,东3舍808
01033198,高北辰,男,2004-02-09,1.8,东12舍811
01033199,刘雪晴,女,2002-01-02,1.58,东12舍825
01033200,何情,女,2003-10-31,1.69,东10舍611
01033201,杨佳奕,女,2002-02-22,1.64,东1舍310
01033202,宿玉飞,男,2003-05-16,1.89,东5舍928
01033203,马靖惟,男,2003-10-14,1.59,东21舍627
01033204,储成晋,男,2004-12-13,1.84,东21舍924
01033205,蒋肖斌,男,2004-10-23,1.83,东15舍408
01033206,辛欣,女,2003-01-04,1.69,东7舍133
01033207,赵新华,男,2005-10-09,1.81,东7舍417
01033208,孙雨东,男,2003-12-22,1.62,东17舍920
01033209,黄子芸,女,2002-09-22,1.58,东13舍533
01033210,刘一蒙,女,2004-08-03,1.59,东12舍506
01033211,屠佳伟,男,2002-10-08,1.6,东7舍528
01033212,揭圣明,男,2005-12-16,1.59,东6舍728
01033213,赵辉,男,2005-04-07,1.6,东15舍710
01033214,张奕,女,2002-01-06,1.63,东17舍224
01033215,张容荣,女,2002-01-23,1.58,东4舍711
01033216,张学智,男,2004-09-13,1.88,东21舍409
01033217,吴逸夫,男,2005-10-23,1.87,东19舍613
01033218,王金子,女,2005-06-30,1.71,东7舍414
01033219,许文珺,女,2003-07-08,1.85,东13舍506
01033220,吕玉红,女,2003-10-29,1.76,东9舍118
01033221,陈静怡,女,2005-07-27,1.74,东12舍821
01033222,席志杰,男,2004-02-08,1.85,东4舍505
01033223,张德香,女,2005-05-09,1.77,东18舍929
01033224,吴猷,女,2004-01-15,1.85,东18舍110
01033225,龙涛,男,2003-10-12,1.83,东6舍131
01033226,孙长通,男,2002-12-30,1.69,东21舍128
01033227,曾琳,女,2005-11-25,1.73,东4舍904
01033228,曹致渌,女,2003-12-06,1.81,东14舍210
01033229,侯蕴轩,男,2002-03-13,1.66,东18舍109
01033230,杨晓,女,2004-09-05,1.62,东3舍704
01033231,齐浩翔,男,2002-09-02,1.83,东11舍717
01033232,邬凌伊,女,2005-01-09,1.84,东15舍804
01033233,刘伟,男,2004-12-27,1.65,东3舍302
01033234,张甜甜,女,2002-03-17,1.84,东17舍831
01033235,陈赛格,女,2005-10-16,1.82,东13舍828
01033236,江雨婷,女,2004-11-10,1.72,东7舍919
01033237,邓时跃,男,2004-10-17,1.76,东7舍108
01033238,黄怡敏,女,2005-12-09,1.7,东18舍709
01033239,胡玲,女,2004-03-17,1.89,东8舍926
01033240,张梦洁,女,2005-02-05,1.83,东19舍315
01033241,陈思宏,女,2004-04-29,1.74,东7舍515
01033242,韩霄,男,2005-05-05,1.79,东13舍312
01033243,金梦群,女,2002-01-10,1.86,东13舍418
01033244,高颢诚,男,2004-03-12,1.79,东14舍507
01033245,强郁文,女,2005-07-15,1.66,东15舍516
01033246,王宇涛,男,2002-02-16,1.9,东15舍632
01033247,张胜杰,男,2002-04-14,1.77,东14舍702
01033248,汤悦,女,2002-10-28,1.75,东21舍621
01033249,卢瑜晓,女,2003-03-21,1.65,东13舍632
01033250,魏雯莉,女,2003-12-01,1.88,东10舍128
01033251,李思婷,女,2004-07-14,1.64,东20舍910
01033252,夏成锴,男,2004-10-12,1.78,东13舍217
01033253,谢晓雨,女,2004-04-14,1.62,东6舍617
01033254,陆景菲,女,2002-04-13,1.7,东14舍123
01033255,唐宇,女,2003-02-22,1.84,东6舍905
01033256,黄天正,男,2005-01-24,1.81,东4舍722
01033257,黄哲恒,男,2004-11-05,1.8,东14舍533
01033258,涂梦昭,女,2002-06-26,1.81,东1舍901
01033259,程功,男,2002-04-04,1.71,东14舍813
01033260,郑晨,男,2003-02-10,1.79,东5舍125
01033261,沈哲锋,男,2005-07-25,1.88,东14舍116
01033262,张万顺,男,2002-04-16,1.77,东3舍233
01033263,邓亚强,男,2004-10-14,1.77,东12舍913
01033264,熊凯璐,男,2005-06-20,1.86,东6舍409
01033265,徐可昊,男,2002-10-18,1.89,东17舍714
01033266,董泽宇,男,2003-02-25,1.69,东9舍333
01033267,简明杰,男,2002-10-04,1.62,东11舍621
01033268,张家诚,男,2004-01-30,1.74,东17舍808
01033269,宿文华,男,2002-02-10,1.64,东15舍612
01033270,常惜春,女,2004-02-16,1.7,东20舍131
01033271,李芳,女,2004-08-05,1.69,东17舍508
01033272,王晓芳,女,2005-08-04,1.87,东2舍929
01033273,徐晓东,女,2004-07-24,1.8,东12舍919
01033274,逯恒东,男,2003-06-22,1.69,东2舍413
01033275,尚奕萱,女,2005-07-03,1.72,东19舍924
01033276,王悦,女,2003-05-05,1.69,东20舍806
01033277,李明璇,女,2004-03-21,1.76,东3舍617
01033278,徐辉,男,2005-06-27,1.83,东9舍530
01033279,白济源,男,2005-06-20,1.66,东11舍706
01033280,李柯乐,男,2004-09-04,1.6,东13舍101
01033281,刘莹,女,2005-12-07,1.6,东1舍418
01033282,王言标,男,2004-11-01,1.8,东6舍825
01033283,谢达轩,男,2004-02-01,1.79,东11舍321
01033284,杨琳颖,女,2002-10-26,1.82,东21舍628
01033285,张冠斓,男,2003-02-18,1.63,东14舍921
01033286,温凯隆,男,2004-06-14,1.7,东2舍432
01033287,刘家辉,男,2004-06-05,1.85,东15舍632
01033288,王佳颖,女,2002-09-23,1.76,东15舍223
01033289,王雨桐,女,2003-12-13,1.6,东21舍412
01033290,何慧,女,2004-12-06,1.87,东3舍928
01033291,马嘉雯,女,2002-01-18,1.82,东14舍212
01033292,范盈盈,女,2002-02-19,1.62,东14舍125
01033293,李梦婕,女,2004-01-20,1.61,东16舍815
01033294,左烜晅,女,2004-07-25,1.79,东18舍402
01033295,林博娇,女,2002-04-28,1.77,东1舍901
01033296,张源,女,2004-06-20,1.72,东12舍230
01033297,赖警辉,男,2005-04-20,1.63,东6舍217
01033298,张盼盼,女,2004-08-07,1.61,东18舍508
01033299,郭婧,女,2003-05-20,1.65,东11舍307
01033300,张亚强,男,2005-07-23,1.62,东19舍316
01033301,刘若文,男,2004-02-14,1.68,东15舍217
01033302,姜林萍,女,2005-03-31,1.66,东11舍730
01033303,周俊颖,女,2003-09-21,1.71,东6舍226
01033304,韦晴,女,2002-07-22,1.76,东2舍202
01033305,袁宇飞,女,2004-11-06,1.59,东1舍107
01033306,赵全胜,男,2003-11-12,1.7,东15舍329
01033307,杨星宇,男,2002-06-06,1.63,东9舍416
01033308,崔榕,女,2002-06-03,1.73,东8舍523
01033309,李俊慧,男,2002-11-13,1.63,东15舍917
01033310,荣赫,女,2003-06-09,1.77,东19舍506
01033311,郭宇栒,男,2005-02-18,1.77,东20舍727
01033312,贺芷懿,女,2003-08-18,1.67,东5舍304
01033313,王钰宁,女,2004-11-25,1.64,东3舍816
01033314,于钰渤,女,2002-04-01,1.75,东17舍825
01033315,汤泽芬,女,2005-07-13,1.67,东15舍407
01033316,刘昕宇,男,2003-04-25,1.72,东2舍714
01033317,赵克纬,男,2004-12-28,1.83,东4舍321
01033318,刘悦琳,女,2002-06-04,1.85,东3舍809
01033319,潘俊陶,男,2003-03-02,1.66,东15舍614
01033320,韩子程,男,2002-12-19,1.65,东20舍805
01033321,刘佑民,男,2002-06-15,1.68,东14舍916
01033322,赵白鹭,女,2005-08-30,1.68,东7舍221
01033323,熊帅,男,2004-09-08,1.61,东14舍816
01033324,韩斯雅,女,2004-06-10,1.73,东5舍205
01033325,孟冠雄,男,2005-11-29,1.9,东20舍727
01033326,黄豪硕,男,2005-11-12,1.69,东18舍907
01033327,王宏强,男,2005-08-03,1.7,东19舍111
01033328,曲亦成,男,2002-09-01,1.79,东15舍929
01033329,王茗涵,女,2004-06-29,1.66,东10舍323
01033330,刘顺欣,男,2005-01-29,1.86,东8舍319
01033331,尤琪,女,2004-11-19,1.76,东12舍210
01033332,蓝青,男,2004-08-22,1.73,东12舍127
01033333,陈威然,女,2003-12-09,1.66,东8舍206
01033334,傅梦媛,女,2004-02-24,1.8,东11舍625
01033335,郭文飞,男,2005-06-22,1.87,东11舍306
01033336,聂雷,男,2004-10-03,1.78,东4舍828
01033337,程寅,男,2005-10-02,1.61,东7舍431
01033338,李亚强,男,2004-08-26,1.86,东19舍415
01033339,郭思睿,女,2005-12-10,1.85,东14舍515
01033340,左曈,女,2004-09-02,1.78,东9舍115
01033341,郑佳佳,女,2002-04-28,1.85,东21舍124
01033342,陆胜,男,2002-04-17,1.76,东4舍106
01033343,柯莉文,女,2003-11-08,1.8,东10舍332
01033344,牛晓文,女,2002-01-31,1.83,东4舍617
01033345,倪睿阳,男,2002-12-07,1.65,东13舍221
01033346,应子奇,男,2002-08-28,1.88,东14舍833
01033347,顾雅超,女,2005-09-01,1.9,东10舍521
01033348,张迪,男,2004-04-07,1.7,东10舍907
01033349,陈蕊,女,2005-04-21,1.63,东8舍125
01033350,唐望峰,男,2002-07-11,1.66,东6舍502
01033351,王雨桐,女,2003-01-11,1.82,东19舍728
01033352,黄小洁,女,2004-08-20,1.73,东12舍829
01033353,杜芷雅,女,2005-03-10,1.82,东5舍923
01033354,冯天,女,2005-06-07,1.78,东21舍902
01033355,许钰梓,女,2004-11-05,1.69,东6舍333
01033356,陈照松,男,2002-06-14,1.63,东14舍920
01033357,杨亚维,女,2005-11-19,1.87,东19舍915
01033358,裴定宇,男,2005-09-25,1.82,东10舍209
01033359,冯卫峰,男,2004-02-25,1.81,东14舍427
01033360,刘鉴非,男,2004-03-16,1.66,东6舍628
01033361,曹秦峰,男,2003-05-17,1.89,东14舍929
01033362,张昱,女,2005-06-16,1.61,东15舍718
01033363,柴然,女,2003-02-24,1.64,东3舍919
01033364,韩媛媛,女,2003-08-23,1.71,东12舍505
01033365,谈可意,男,2004-01-31,1.89,东20舍123
01033366,刘畅,女,2002-11-11,1.85,东7舍605
01033367,赵云杰,男,2002-05-18,1.63,东20舍402
01033368,吴诗慧,女,2003-12-02,1.75,东13舍702
01033369,陈玉,女,2002-01-08,1.7,东12舍201
01033370,刘鹏,男,2003-01-29,1.82,东4舍921
01033371,张丹,女,2004-09-19,1.89,东18舍618
01033372,谭祺,女,2003-05-23,1.64,东16舍805
01033373,刘丹阳,女,2003-09-02,1.85,东2舍329
01033374,张贵艳,女,2003-02-12,1.74,东17舍529
01033375,尚紫薇,女,2003-10-05,1.7,东15舍813
01033376,蔡俊杰,男,2003-06-30,1.77,东1舍911
01033377,王立英,女,2005-06-02,1.82,东17舍432
01033378,王晓东,男,2004-10-09,1.69,东1舍719
01033379,林怡君,女,2002-05-02,1.88,东18舍131
01033380,曾倪,女,2003-02-02,1.81,东13舍601
01033381,杨雨琳,女,2002-03-18,1.62,东12舍116
01033382,黄丹,女,2004-06-23,1.65,东14舍113
01033383,林瑾瑜,女,2005-12-08,1.78,东16舍427
01033384,王行健,男,2004-08-07,1.64,东21舍333
01033385,李昳敏,女,2004-11-07,1.61,东21舍509
01033386,仝婧禹,女,2004-05-05,1.73,东2舍412
01033387,周新宇,男,2003-09-26,1.87,东20舍924
01033388,肖昌明,男,2003-08-06,1.7,东5舍105
01033389,何立微,女,2002-11-12,1.84,东6舍121
01033390,刘媛媛,女,2002-08-21,1.88,东5舍605
01033391,刘真言,女,2002-04-04,1.82,东9舍329
01033392,许艺凡,女,2002-12-27,1.69,东7舍313
01033393,乔华东,男,2003-01-30,1.8,东16舍814
01033394,张百祺,女,2002-02-28,1.71,东6舍615
01033395,杨艳清,女,2003-05-10,1.77,东12舍119
01033396,金凯,男,2004-09-16,1.78,东1舍225
01033397,杨晨,女,2004-05-16,1.69,东13舍419
01033398,陈嘉诚,男,2002-03-29,1.86,东2舍413
01033399,王珂,女,2002-09-02,1.67,东3舍617
01033400,陈嘉烨,男,2002-03-03,1.67,东16舍113
01033401,葛盈泽,男,2004-04-07,1.72,东5舍407
01033402,王亘之,男,2005-11-14,1.74,东6舍329
01033403,林楠,女,2004-04-26,1.83,东12舍417
01033404,严若诗,女,2004-12-13,1.87,东15舍208
01033405,郑旭超,男,2003-12-05,1.67,东11舍320
01033406,张雨欣,女,2004-08-12,1.62,东3舍510
01033407,任思远,男,2003-07-26,1.88,东15舍426
01033408,吴庚键,男,2002-03-08,1.8,东1舍333
01033409,李思敏,男,2003-11-28,1.67,东7舍214
01033410,马嘉莹,女,2004-08-25,1.59,东7舍423
01033411,李姿仪,女,2003-10-21,1.88,东21舍618
01033412,陈冠达,男,2004-09-22,1.76,东8舍418
01033413,郭甜,女,2002-08-18,1.67,东13舍313
01033414,张虎,男,2005-11-04,1.65,东7舍528
01033415,张爱琪,女,2004-06-06,1.88,东9舍233
01033416,冯璐,女,2005-12-13,1.69,东17舍418
01033417,南煊,女,2002-05-18,1.65,东16舍827
01033418,黄建芬,女,2005-12-08,1.69,东8舍509
01033419,朱向晖,女,2004-04-21,1.72,东3舍831
01033420,任家睿,女,2003-01-04,1.64,东5舍518
01033421,黄建芬,女,2002-03-21,1.77,东5舍823
01033422,李振寰,男,2004-02-29,1.81,东19舍823
01033423,王瑞琪,男,2002-01-27,1.69,东5舍924
01033424,龚赛琳,女,2002-02-26,1.77,东8舍304
01033425,欧阳稷,男,2004-06-26,1.86,东17舍213
01033426,王志超,男,2003-02-14,1.61,东16舍527
01033427,缪佳仪,女,2004-10-12,1.63,东18舍401
01033428,孟可,男,2004-06-08,1.68,东20舍525
01033429,靳文忠,男,2004-04-18,1.62,东20舍222
01033430,李宗昱,男,2002-04-16,1.65,东11舍824
01033431,谭颖昊,女,2003-01-08,1.76,东9舍608
01033432,黄羽岑,女,2004-10-02,1.71,东19舍407
01033433,江雅仁,女,2005-02-06,1.81,东18舍133
01033434,林晗,女,2005-01-30,1.78,东9舍332
01033435,陈瑾莹,女,2002-01-31,1.66,东13舍730
01033436,上官平,女,2002-09-13,1.87,东21舍501
01033437,李玉洁,女,2003-05-30,1.86,东12舍601
01033438,宋佳,女,2002-11-17,1.6,东8舍910
01033439,屈茗,女,2002-05-01,1.79,东6舍911
01033440,罗颖,女,2002-08-23,1.69,东4舍430
01033441,李靖新弘,男,2003-09-21,1.61,东3舍909
01033442,苏小湄,女,2004-03-07,1.58,东6舍723
01033443,苏晟宇,男,2005-12-21,1.69,东20舍118
01033444,李方梅,女,2004-11-01,1.71,东11舍721
01033445,郑烨烨,女,2003-06-17,1.69,东4舍522
01033446,黄鑫源,男,2005-04-30,1.77,东7舍810
01033447,刘悦,女,2004-03-28,1.63,东15舍211
01033448,黄书娴,女,2004-10-21,1.74,东17舍209
01033449,徐育新,男,2005-02-15,1.88,东3舍229
01033450,苏婧欣,女,2005-11-24,1.78,东9舍501
01033451,汪大洋,男,2004-06-18,1.83,东5舍928
01033452,王易檀,男,2003-04-08,1.79,东20舍808
01033453,顾欣玮,男,2005-07-17,1.68,东4舍308
01033454,何金晶,女,2002-10-12,1.58,东10舍724
01033455,杨雅芳,女,2003-11-23,1.7,东13舍720
01033456,马霄,男,2002-10-01,1.76,东18舍917
01033457,李永凯,男,2005-04-25,1.85,东18舍724
01033458,袁珺,女,2003-11-28,1.89,东13舍803
01033459,高正祺,男,2004-06-26,1.79,东17舍333
01033460,颜文珮,女,2002-04-30,1.89,东3舍631
01033461,李潘东,男,2003-04-06,1.65,东13舍926
01033462,张蓝允,女,2003-12-25,1.73,东2舍725
01033463,张百祺,女,2005-12-30,1.63,东20舍712
01033464,徐璐,女,2005-01-17,1.74,东12舍626
01033465,徐强,男,2004-09-23,1.65,东7舍604
01033466,邓启迪,男,2005-10-18,1.85,东12舍312
01033467,宋知行,男,2005-12-28,1.76,东10舍512
01033468,黄慧敏,女,2005-04-02,1.6,东5舍423
01033469,刘家瑞,女,2005-04-07,1.61,东1舍227
01033470,刘静远,女,2004-01-03,1.61,东3舍132
01033471,张旭,女,2005-07-22,1.89,东6舍617
01033472,侯悦,女,2004-01-18,1.83,东16舍430
01033473,尹凤杰,女,2004-06-08,1.86,东8舍327
01033474,潘岱松,男,2003-06-05,1.68,东5舍810
01033475,李少冉,女,2004-10-14,1.89,东19舍329
01033476,袁宇飞,女,2002-06-30,1.87,东17舍323
01033477,黄冰凌,女,2002-02-11,1.59,东17舍819
01033478,郭蓉,女,2002-02-05,1.72,东20舍213
01033479,杜玮倩,女,2005-05-04,1.85,东16舍811
01033480,练云龙,男,2005-10-18,1.74,东14舍721
01033481,汤一舟,男,2002-06-26,1.61,东19舍323
01033482,兰健,男,2003-07-24,1.69,东8舍612
01033483,陈航通,男,2003-01-02,1.88,东7舍519
01033484,陈青山,男,2004-07-21,1.62,东19舍105
01033485,黎胤禹,男,2002-12-09,1.87,东1舍726
01033486,骆丽羽,女,2004-07-18,1.81,东14舍525
01033487,薛雪芸,女,2002-01-31,1.89,东19舍301
01033488,牟书奇,男,2005-07-23,1.78,东7舍513
01033489,詹锐超,男,2002-08-13,1.8,东12舍521
01033490,胡思远,男,2005-10-21,1.6,东7舍309
01033491,李佳露,女,2003-03-14,1.73,东13舍915
01033492,杨洋,女,2003-08-18,1.81,东11舍521
01033493,李如玥,女,2002-03-28,1.66,东15舍718
01033494,曾文颢,男,2002-12-28,1.66,东21舍121
01033495,吴欣宇,女,2004-04-06,1.66,东7舍225
01033496,潘柯颖,女,2002-08-17,1.71,东1舍327
01033497,冯钰庭,男,2003-09-26,1.72,东9舍527
01033498,姜浩天,男,2004-10-05,1.73,东3舍929
01033499,杨兴龙,男,2005-01-03,1.87,东15舍119
01033500,陈城,男,2002-05-04,1.59,东17舍432
01033501,韩京时,女,2003-02-07,1.87,东18舍422
01033502,李铭淑,女,2003-02-09,1.88,东1舍915
01033503,张庭荣,男,2004-08-06,1.6,东7舍711
01033504,李日宏,男,2005-08-06,1.88,东13舍615
01033505,吴俊彦,男,2003-11-25,1.82,东15舍327
01033506,孙晓涵,女,2003-03-23,1.65,东11舍421
01033507,蔡立崴,男,2003-01-22,1.73,东16舍610
01033508,邹世博,男,2004-03-10,1.8,东12舍206
01033509,张汶琳,女,2002-06-11,1.74,东2舍803
01033510,包觉明,男,2004-04-25,1.79,东17舍518
01033511,李福佳,女,2002-03-18,1.8,东12舍615
01033512,张格然,女,2002-05-20,1.66,东5舍926
01033513,李玉洁,女,2004-02-02,1.79,东1舍612
01033514,王琦,女,2005-02-20,1.83,东19舍808
01033515,宋静,女,2003-10-17,1.73,东10舍929
01033516,凌婧文,女,2005-04-08,1.64,东3舍208
01033517,冯昕,女,2003-02-07,1.87,东11舍412
01033518,叶佩,女,2004-03-05,1.8,东6舍632
01033519,何立微,女,2004-04-11,1.79,东5舍732
01033520,雷凯翔,男,2003-06-02,1.88,东13舍317
01033521,赵睿玥,女,2005-09-03,1.73,东8舍319
01033522,汪梦洁,女,2002-09-19,1.79,东15舍912
01033523,沈李美慧,女,2002-09-17,1.71,东2舍229
01033524,刘洺序,男,2003-03-12,1.87,东7舍602
01033525,袁珂,女,2003-01-20,1.69,东16舍212
01033526,张欣妍,女,2004-05-27,1.72,东14舍504
01033527,胡子瑶,女,2005-04-20,1.78,东13舍317
01033528,温文,女,2004-06-03,1.6,东2舍814
01033529,张宇琦,女,2005-01-08,1.65,东17舍603
01033530,薛洁,女,2002-11-03,1.79,东4舍120
01033531,王怡萌,女,2002-01-04,1.83,东9舍532
01033532,吕佳,男,2002-11-03,1.82,东19舍411
01033533,张钧铎,男,2005-06-30,1.63,东14舍923
01033534,丁嘉辉,男,2004-12-08,1.74,东3舍107
01033535,王旷辰,男,2003-11-05,1.65,东4舍602
01033536,胡思远,男,2002-05-23,1.69,东1舍520
01033537,张梦霓,女,2002-01-19,1.8,东17舍527
01033538,崔婕,女,2002-06-25,1.75,东9舍616
01033539,梁月馨,女,2004-09-19,1.85,东10舍521
01033540,黄心怡,女,2002-04-14,1.64,东4舍302
01033541,刘学严,男,2004-05-10,1.89,东9舍928
01033542,王心怡,女,2004-03-11,1.86,东4舍408
01033543,魏音,女,2002-08-01,1.62,东6舍619
01033544,谭丁,女,2004-06-26,1.65,东16舍516
01033545,吴可书,女,2005-05-05,1.71,东5舍702
01033546,朱子宜,男,2003-04-24,1.77,东9舍130
01033547,吕可凡,男,2004-12-31,1.62,东17舍628
01033548,潘安,男,2005-09-03,1.75,东16舍429
01033549,张磊,男,2003-07-03,1.64,东4舍218
01033550,李凡,男,2002-06-13,1.76,东11舍822
01033551,保先丽,女,2005-07-21,1.6,东18舍229
01033552,杨卉,女,2005-10-20,1.6,东6舍521
01033553,刘家瑞,女,2004-03-19,1.65,东8舍822
01033554,堵文瑜,女,2004-11-21,1.6,东10舍917
01033555,王健,男,2005-06-24,1.9,东16舍519
01033556,王文超,女,2003-06-11,1.9,东7舍927
01033557,侯鸿昌,男,2005-01-21,1.89,东17舍401
01033558,王竞冕,男,2005-06-16,1.6,东14舍317
01033559,周逸菲,女,2002-05-18,1.7,东16舍406
01033560,凌跃,男,2002-10-07,1.82,东6舍506
01033561,邱冬艳,女,2005-12-02,1.81,东12舍107
01033562,宋佘琛,男,2005-08-09,1.74,东18舍820
01033563,徐岑,女,2005-07-19,1.81,东8舍519
01033564,唐一笑,男,2005-07-09,1.69,东3舍928
01033565,韦悦,女,2003-08-27,1.64,东2舍804
01033566,黄天佑,男,2002-08-29,1.79,东11舍425
01033567,孙雨,男,2003-09-10,1.59,东8舍216
01033568,李雅艺,女,2005-07-31,1.75,东5舍923
01033569,沈锦涛,男,2005-05-13,1.83,东15舍926
01033570,王悦齐,男,2005-05-08,1.76,东4舍731
01033571,李昕宇,男,2002-08-03,1.85,东14舍213
01033572,邹才文,男,2002-05-22,1.71,东5舍732
01033573,祝淼,女,2004-07-30,1.84,东9舍325
01033574,冯璐,女,2005-07-22,1.69,东5舍830
01033575,胡冬远,男,2003-11-24,1.88,东5舍314
01033576,杜馥宇,女,2005-08-18,1.64,东18舍308
01033577,郭敏媛,女,2002-05-15,1.7,东14舍711
01033578,高岳昂,男,2004-02-01,1.6,东2舍215
01033579,刘宛妮,女,2002-10-26,1.7,东11舍926
01033580,孙倩,女,2004-08-08,1.73,东21舍317
01033581,崔婉怡,女,2004-05-29,1.83,东9舍910
01033582,卢麟,男,2004-04-24,1.61,东2舍618
01033583,刘炜彤,女,2004-03-01,1.88,东20舍332
01033584,李依伦,女,2005-01-03,1.79,东14舍105
01033585,赵梦尧,男,2003-03-07,1.6,东7舍508
01033586,钱建红,男,2003-05-12,1.77,东16舍219
01033587,赖泽华,男,2003-06-18,1.88,东15舍325
01033588,杨泽生,男,2002-09-19,1.69,东1舍526
01033589,叶星宏,男,2003-06-10,1.76,东12舍826
01033590,陈源,男,2004-10-29,1.7,东1舍413
01033591,邓明阳,男,2002-09-08,1.69,东1舍107
01033592,林小慧,女,2002-03-20,1.77,东17舍329
01033593,马婷婷,女,2005-06-27,1.85,东20舍628
01033594,冯胜男,女,2002-01-16,1.85,东10舍132
01033595,徐宁,女,2002-03-19,1.69,东1舍725
01033596,李艳利,女,2003-01-25,1.79,东2舍417
01033597,罗海燕,女,2004-12-20,1.74,东17舍927
01033598,王可,男,2002-07-26,1.67,东17舍313
01033599,钱惠莹,女,2003-03-06,1.64,东17舍517
01033600,邵韬,男,2004-12-23,1.61,东1舍328
01033601,赵振宇,男,2003-05-05,1.84,东12舍823
01033602,付家兴,男,2002-08-10,1.69,东4舍404
01033603,牛天昊,男,2003-11-18,1.84,东15舍713
01033604,闫旭,男,2005-01-09,1.7,东4舍116
01033605,吴欣宇,女,2004-05-16,1.62,东20舍619
01033606,周雅梦,女,2005-09-16,1.64,东3舍201
01033607,王丝桐,女,2004-01-05,1.65,东14舍301
01033608,闫鹏,男,2005-04-17,1.89,东6舍212
01033609,秦浪,男,2003-12-14,1.84,东6舍725
01033610,沙鹏举,男,2002-12-12,1.84,东15舍124
01033611,吴超逸,男,2004-06-26,1.86,东4舍425
01033612,张逸舟,男,2004-09-12,1.6,东6舍820
01033613,周子彦,男,2003-03-21,1.69,东18舍217
01033614,张碧溪,女,2005-05-13,1.67,东16舍709
01033615,杨可志,男,2005-12-15,1.63,东18舍433
01033616,刘禹延,男,2005-03-11,1.65,东14舍410
01033617,白云仁,男,2003-12-01,1.87,东8舍219
01033618,唐密文,男,2005-07-26,1.65,东13舍919
01033619,曲梦圆,女,2002-11-20,1.76,东12舍532
01033620,相腾,男,2005-12-09,1.8,东2舍225
01033621,郑亚超,男,2004-04-25,1.89,东16舍612
01033622,郭民安,男,2003-06-14,1.68,东7舍415
01033623,李子桦,男,2003-07-28,1.81,东21舍220
01033624,黄潇婷,女,2005-12-07,1.64,东2舍315
01033625,李尧沣,男,2004-07-04,1.66,东3舍207
01033626,陈鹏宇,男,2004-12-19,1.69,东8舍423
01033627,张雨涵,女,2003-06-26,1.86,东7舍610
01033628,王达桂佳,男,2005-09-06,1.69,东1舍528
01033629,胡锦煦,女,2003-06-17,1.83,东11舍709
01033630,周卓伟,男,2003-12-07,1.71,东15舍129
01033631,刘昌昊,男,2002-11-07,1.68,东14舍803
01033632,李昕,女,2003-05-18,1.89,东2舍213
01033633,侯筱雨,女,2005-12-23,1.63,东9舍509
01033634,陆宽,男,2004-04-26,1.72,东8舍730
01033635,彭丽云,女,2002-10-11,1.68,东6舍833
01033636,裴盈珍,男,2005-11-10,1.79,东6舍821
01033637,胡玉峰,女,2005-11-30,1.65,东10舍724
01033638,彭霏霏,女,2005-01-16,1.61,东20舍232
01033639,郭健,男,2003-11-02,1.78,东8舍131
01033640,费啸天,男,2003-03-29,1.75,东19舍506
01033641,李梦媛,女,2004-10-25,1.7,东16舍533
01033642,钱文欣,男,2002-02-08,1.63,东2舍827
01033643,徐毅航,男,2002-01-13,1.72,东15舍301
01033644,王璟,女,2002-11-07,1.84,东10舍419
01033645,韩叮咚,女,2002-11-23,1.66,东8舍306
01033646,徐延锋,男,2003-08-16,1.59,东1舍420
01033647,刘长峰,男,2005-02-27,1.81,东15舍812
01033648,陆星儿,女,2004-10-23,1.59,东3舍531
01033649,费潘凡,女,2003-12-12,1.83,东1舍412
01033650,陈晨,女,2003-12-04,1.83,东4舍612
01033651,刘星铄,女,2003-10-27,1.62,东13舍612
01033652,钱奕轩,女,2005-04-24,1.68,东6舍329
01033653,孙悦天,女,2003-02-11,1.86,东21舍124
01033654,顾颖琦,女,2002-09-11,1.7,东7舍304
01033655,邢维哲,男,2004-02-20,1.8,东15舍227
01033656,王瀚琳,男,2005-02-12,1.8,东10舍605
01033657,王紫萱,女,2005-07-15,1.59,东21舍317
01033658,孙晓晗,女,2005-12-06,1.83,东10舍403
01033659,谢炜,男,2005-11-04,1.78,东10舍316
01033660,付天睿,男,2003-02-26,1.67,东3舍224
01033661,马甜原,男,2003-05-21,1.72,东6舍509
01033662,杜晗,女,2002-11-30,1.83,东19舍310
01033663,张家铖,男,2002-09-28,1.78,东20舍132
01033664,张森垚,男,2002-07-08,1.84,东8舍109
01033665,顾昊天,男,2003-07-31,1.66,东4舍329
01033666,章启峰,男,2003-05-06,1.62,东3舍414
01033667,谭曦睿,女,2002-09-17,1.64,东2舍519
01033668,龚林,男,2004-08-07,1.76,东20舍424
01033669,游都,女,2003-06-23,1.77,东19舍128
